#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.97 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1998.8505,-5.29000,,,
1998.8775,-11.13000,,,
1998.9046,-16.16000,,,
1998.9319,-8.68000,,,
1998.9591,-6.60000,,,
1998.9862,-1.81000,,,
1999.0133,-4.81000,,,
1999.0405,-6.37000,,,
1999.0948,-9.03000,,,
1999.1256,6.41000,,,
1999.1491,1.66000,,,
1999.1763,-3.27000,,,
1999.2034,-8.58000,,,
1999.2306,-7.10000,,,
1999.2577,-4.48000,,,
1999.2848,-1.79000,,,
1999.3392,-4.05000,,,
1999.3663,-9.15000,,,
1999.3933,-11.26000,,,
1999.4206,-5.16000,,,
1999.4478,-6.11000,,,
1999.4749,-1.89000,,,
1999.5020,0.46000,,,
1999.5292,-4.91000,,,
1999.5566,-7.21000,,,
1999.5834,-2.27000,,,
1999.6106,-2.68000,,,
1999.6377,0.77000,,,
1999.6920,-7.36000,,,
1999.7192,-4.51000,,,
1999.7462,-4.17000,,,
1999.7735,3.51000,,,
1999.8008,2.52000,,,
1999.8278,-2.74000,,,
1999.8550,-8.88000,,,
1999.8822,-8.46000,,,
1999.9092,-4.36000,,,
1999.9636,4.54000,,,
1999.9907,4.01000,,,
2000.0178,-3.51000,,,
2000.0450,-2.50000,,,
2000.0721,5.00000,,,
2000.0993,2.97000,,,
2000.1264,1.12000,,,
2000.1536,-1.60000,,,
2000.1807,-6.15000,,,
2000.2078,-6.36000,,,
2000.2350,2.12000,,,
2000.2894,1.05000,,,
2000.3165,-4.55000,,,
2000.3436,-8.58000,,,
2000.3707,-7.58000,,,
2000.3978,-3.31000,,,
2000.4250,1.48000,,,
2000.4522,0.49000,,,
2000.4794,-2.73000,,,
2000.5065,-4.73000,,,
2000.5337,-1.96000,,,
2000.5879,-0.10000,,,
2000.6149,0.47000,,,
2000.6423,-2.52000,,,
2000.6694,-9.61000,,,
2000.6965,-6.61000,,,
2000.7235,1.78000,,,
2000.7509,5.86000,,,
2000.7780,4.22000,,,
2000.8051,-3.40000,,,
2000.8595,-2.87000,,,
2000.8860,0.88000,,,
2000.9145,3.78000,,,
2000.9409,2.47000,,,
2000.9681,-0.13000,,,
2000.9952,0.94000,,,
2001.0222,2.18000,,,
2001.0766,5.63000,,,
2001.1038,2.76000,,,
2001.1309,-3.72000,,,
2001.1581,-2.57000,,,
2001.1852,3.57000,,,
2001.2124,2.55000,,,
2001.2395,6.44000,,,
2001.2666,3.87000,,,
2001.2937,0.80000,,,
2001.3210,-2.99000,,,
2001.3482,-0.82000,,,
2001.3752,5.08000,,,
2001.4024,5.35000,,,
2001.4296,4.01000,,,
2001.4567,-0.91000,,,
2001.4840,4.43000,,,
2001.5110,6.87000,,,
2001.5381,11.00000,,,
2001.5653,7.51000,,,
2001.5924,8.15000,,,
2001.6195,0.29000,,,
2001.6468,-1.70000,,,
2001.6738,2.12000,,,
2001.7010,10.84000,,,
2001.7283,10.46000,,,
2001.7553,7.61000,,,
2001.7825,-0.26000,,,
2001.8096,-4.21000,,,
2001.8368,3.57000,,,
2001.8639,9.05000,,,
2001.8918,8.00000,,,
2001.9182,5.55000,,,
2001.9454,0.70000,,,
2001.9725,0.99000,,,
2001.9996,9.05000,,,
2002.0270,6.99000,,,
2002.0537,,0.62000,,
2002.0540,6.03000,,,
2002.0811,5.45000,,,
2002.0819,,7.34000,,
2002.1083,0.74000,8.82000,,
2002.1352,,9.63000,,
2002.1354,2.63000,,,
2002.1626,7.46000,8.78000,,
2002.1897,8.08000,,,
2002.1898,,2.97000,,
2002.2168,8.36000,,,
2002.2169,,4.74000,,
2002.2438,,3.53000,,
2002.2440,2.75000,,,
2002.2711,0.91000,,,
2002.2713,,8.38000,,
2002.2983,,4.10000,,
2002.2988,-2.65000,,,
2002.3254,4.16000,4.91000,,
2002.3525,,4.62000,,
2002.3527,8.15000,,,
2002.3797,8.25000,6.51000,,
2002.4069,6.30000,5.64000,,
2002.4340,-0.26000,3.07000,,
2002.4611,4.28000,6.47000,,
2002.4883,14.07000,9.00000,,
2002.5155,,6.72000,,
2002.5426,10.44000,8.92000,,
2002.5697,7.31000,11.10000,,
2002.5969,5.71000,11.28000,,
2002.6239,7.83000,,,
2002.6240,,11.72000,,
2002.6512,,8.46000,,
2002.6551,11.28000,,,
2002.6783,11.45000,,,
2002.6784,,6.20000,,
2002.7055,,6.03000,,
2002.7064,10.64000,,,
2002.7326,7.67000,,,
2002.7327,,8.51000,,
2002.7598,,6.64000,,
2002.7599,-0.73000,,,
